일시,No_1,No_2,No_3,No_4,No_5,No_6,No_Bonus,평균기온,평균 상대습도,평균 현지기압,등수
2019-07-27,2,6,20,27,37,39,4,28.4,76.6,995.7,1
2019-07-20,12,17,28,41,43,44,25,28.0,66.9,990.8,1
2019-07-13,14,17,19,22,24,40,41,24.9,67.3,992.0,1
2019-07-06,9,15,29,34,37,39,12,29.7,40.9,994.1,1
2019-06-29,3,15,22,32,33,45,2,23.1,72.0,988.3,1
2019-06-22,3,7,10,13,25,36,32,24.2,42.3,996.5,1
2019-06-15,16,21,28,35,39,43,12,21.9,61.5,990.5,1
2019-06-08,10,34,38,40,42,43,32,21.9,57.5,997.9,1
2019-06-01,11,17,19,21,22,25,24,18.9,60.5,1000.1,1
2019-05-25,4,8,18,25,27,32,42,23.4,45.6,1005.0,1
2019-05-18,8,22,35,38,39,41,24,22.8,46.8,1001.8,1
2019-05-11,9,13,32,38,39,43,23,20.3,39.0,1003.7,1
2019-05-04,6,10,16,28,34,38,43,19.5,40.4,1007.8,1
2019-04-27,10,24,40,41,43,44,17,11.6,52.6,1010.9,1
2019-04-20,8,15,17,19,43,44,7,14.3,66.9,1004.7,1
2019-04-13,20,25,31,32,36,43,3,11.8,34.0,1009.2,1
2019-04-06,2,8,23,26,27,44,13,9.3,39.9,1001.7,1
2019-03-30,11,17,28,30,33,35,9,5.2,72.0,1002.1,1
2019-03-23,14,18,22,26,31,44,40,3.3,46.9,1010.4,1
2019-03-16,16,20,24,28,36,39,5,4.3,69.9,1009.9,1
2019-03-09,5,13,17,29,34,39,3,7.2,31.8,1011.2,1
2019-03-02,1,2,16,22,38,39,34,7.8,37.6,1008.7,1
2019-02-23,12,16,26,28,30,42,22,6.8,41.0,1012.8,1
2019-02-16,5,18,30,41,43,45,13,-2.7,59.0,1013.5,1
2019-02-09,1,16,29,33,40,45,6,-5.4,30.0,1017.4,1
2019-02-02,7,8,13,15,33,45,18,1.4,60.0,1011.2,1
2019-01-26,19,21,30,33,34,42,4,-2.5,30.9,1017.5,1
2019-01-19,14,26,32,36,39,42,38,3.6,59.8,1011.7,1
2019-01-12,5,11,14,30,33,38,24,2.8,47.6,1012.1,1
2019-01-05,2,4,11,28,29,43,27,-2.8,40.3,1016.6,1
2018-12-29,3,9,11,12,13,19,35,-7.6,29.0,1024.3,1
2018-12-22,9,14,17,33,36,38,20,6.9,48.9,1012.5,1
2018-12-15,2,25,28,30,33,45,6,-2.4,46.8,1021.4,1
2018-12-08,1,9,11,14,26,28,19,-8.3,37.1,1022.9,1
2018-12-01,9,10,13,28,38,45,35,5.5,42.3,1016.6,1
2018-11-24,6,8,18,35,42,43,3,2.6,71.1,1013.2,1
2018-11-17,12,18,30,39,41,42,19,4.9,50.8,1013.1,1
2018-11-10,13,14,19,26,40,43,30,11.9,69.1,1013.4,1
2018-11-03,3,10,16,19,31,39,9,11.2,56.0,1015.0,1
2018-10-27,5,6,16,18,37,38,17,8.7,49.6,1004.5,1
2018-10-20,4,5,31,35,43,45,29,13.4,53.9,1015.3,1
2018-10-13,4,7,13,29,31,39,18,12.5,54.0,1015.2,1
2018-10-06,5,11,12,29,33,44,14,18.0,84.0,997.1,1
2018-09-29,13,16,24,25,33,36,42,20.2,55.5,1003.9,1
2018-09-22,8,15,21,31,33,38,42,20.8,62.3,1004.6,1
2018-09-15,7,9,24,29,34,38,26,23.3,76.0,1004.4,1
2018-09-08,12,18,24,26,39,40,15,21.7,48.8,1003.5,1
2018-09-01,9,18,20,24,27,36,12,25.5,59.4,1001.5,1
2018-08-25,1,12,13,24,29,44,16,25.2,68.0,999.2,1
2018-08-18,10,21,22,30,35,42,6,26.7,44.6,1001.1,1
2018-08-11,16,25,33,38,40,45,15,31.0,55.8,995.3,1
2018-08-04,14,15,25,28,29,30,3,31.1,60.6,998.2,1
2018-07-28,3,9,12,13,25,43,34,29.5,77.1,996.1,1
2018-07-21,12,18,19,29,31,39,7,30.6,53.6,999.0,1
2018-07-14,17,21,25,26,27,36,4,27.9,69.6,1001.4,1
2018-07-07,2,21,28,38,42,45,30,23.7,51.4,1000.3,1
2018-06-30,11,30,34,35,42,44,27,24.4,83.8,999.6,1
2018-06-23,1,3,12,14,16,43,10,24.5,50.6,994.8,1
2018-06-16,8,11,19,21,36,45,25,22.5,56.4,1002.1,1
2018-06-09,5,10,13,21,39,43,11,23.7,60.6,997.1,1
2018-06-02,6,11,15,17,23,40,39,23.4,44.5,1005.1,1
2018-05-26,15,21,31,32,41,43,24,21.8,50.1,998.8,1
2018-05-19,6,10,18,25,34,35,33,17.6,47.5,1005.9,1
2018-05-12,14,20,23,31,37,38,27,14.2,89.3,999.8,1
2018-05-05,3,12,13,18,31,32,42,18.3,46.8,1004.7,1
2018-04-28,1,10,13,26,32,36,9,15.4,49.0,1006.2,1
2018-04-21,5,9,14,26,30,43,2,18.7,32.0,1008.1,1
2018-04-14,10,11,12,18,24,42,27,9.0,78.8,999.5,1
2018-04-07,17,25,28,37,43,44,2,4.2,45.5,1003.4,1
2018-03-31,1,4,10,12,28,45,26,14.0,52.9,1009.9,1
2018-03-24,12,17,23,34,42,45,33,7.6,61.9,1011.8,1
2018-03-17,2,10,14,22,32,36,41,6.6,48.0,1016.6,1
2018-03-10,5,22,31,32,39,45,36,4.6,65.8,1013.4,1
2018-03-03,1,21,26,36,40,41,5,7.9,38.1,1003.7,1
2018-02-24,3,10,13,26,34,38,36,2.4,49.4,1016.8,1
2018-02-17,6,7,18,19,30,38,13,-3.0,25.6,1014.1,1
2018-02-10,10,15,21,35,38,43,31,-0.5,47.4,1010.9,1
2018-02-03,2,7,19,25,29,36,16,-7.3,47.0,1017.2,1
2018-01-27,2,10,12,31,33,42,32,-9.9,37.4,1017.8,1
2018-01-20,3,8,19,27,30,41,12,2.2,57.6,1012.0,1
2018-01-13,2,6,7,12,19,45,38,-4.4,67.3,1021.1,1
2018-01-06,2,10,11,19,35,39,29,-2.8,45.8,1012.9,1
2017-12-30,5,6,13,16,27,28,9,1.4,79.5,1013.9,1
2017-12-23,12,15,16,20,24,30,38,6.1,75.8,1012.0,1
2017-12-16,4,6,15,25,26,33,40,-5.7,43.1,1016.7,1
2017-12-09,3,10,23,24,31,39,22,-0.5,46.1,1009.6,1
2017-12-02,14,15,16,17,38,45,36,1.9,59.9,1017.3,1
2017-11-25,6,18,31,34,38,45,20,3.0,77.6,1012.6,1
2017-11-18,11,16,18,19,24,39,43,-2.1,38.5,1013.0,1
2017-11-11,15,17,19,21,27,45,16,5.9,42.9,1011.1,1
2017-11-04,6,12,19,24,34,41,4,7.8,47.9,1018.1,1
2017-10-28,6,21,35,36,37,41,11,17.2,51.9,1009.8,1
2017-10-21,6,12,17,21,34,37,18,17.6,52.8,1007.6,1
2017-10-14,8,9,18,21,28,40,20,14.4,42.8,1015.5,1
2017-10-07,11,12,29,33,38,42,17,21.9,67.6,1009.7,1
2017-09-30,12,15,18,28,34,42,9,20.0,64.9,1011.1,1
2017-09-23,8,12,19,21,31,35,44,21.8,69.8,1005.4,1
2017-09-16,5,6,11,14,21,41,32,22.0,50.9,1004.5,1
2017-09-09,6,10,17,18,21,29,30,23.8,70.1,1003.2,1
2017-09-02,1,9,12,23,39,43,34,23.8,59.0,1002.6,1
2017-08-26,5,7,11,16,41,45,4,24.2,54.5,1003.8,1
2017-08-19,7,27,29,30,38,44,4,26.1,75.8,1001.9,1
2017-08-12,5,15,20,31,34,42,22,27.8,60.3,1000.6,1
2017-08-05,9,30,34,35,39,41,21,31.4,63.0,993.4,1
2017-07-29,1,3,8,12,42,43,33,27.2,72.3,997.6,1
2017-07-22,7,22,24,31,34,36,15,29.3,75.8,999.1,1
2017-07-15,3,8,16,32,34,43,10,25.0,89.0,999.5,1
2017-07-08,1,3,12,21,26,41,16,26.0,83.3,996.5,1
2017-07-01,4,7,11,24,42,45,30,25.3,73.6,997.4,1
2017-06-24,10,22,27,31,42,43,12,24.5,60.4,993.3,1
2017-06-17,9,33,36,40,42,43,32,24.2,52.3,1000.5,1
2017-06-10,5,9,12,30,39,43,24,21.5,46.8,996.9,1
2017-06-03,6,7,11,17,33,44,1,20.5,44.0,997.5,1
2017-05-27,10,14,16,18,27,28,4,19.5,46.1,1001.7,1
2017-05-20,13,14,26,28,30,36,37,20.9,44.0,1005.7,1
2017-05-13,2,8,17,24,29,31,32,16.4,77.8,995.6,1
2017-05-06,2,17,19,24,37,41,3,14.9,32.0,1005.0,1
